TS,LAI,tair,VPD,ppt,sw,GPP
202,4.7,25.02125,0.525035353,0,175.265625,9.5163999
203,4.7,24.83,0.248770784,3.8,122.2791667,9.9886725
204,4.7,25.19,0.347914678,0,138.056875,9.9715962
205,4.7,14.95833333,0.078158465,4.4,26.420625,2.8514156
206,4.7,13.71333333,0.126620903,0,54.095625,5.4899654
207,4.7,16.72854167,0.189340068,0,106.4579167,9.2752423
208,4.7,19.63291667,0.215652239,0,135.286875,10.7029845
209,4.7,23.11291667,0.459515009,0,192.2795833,10.1667109
210,4.7,24.53895833,0.605916946,0,197.896875,9.4913896
211,4.7,23.33270833,0.424480447,0,164.054375,9.9170726
212,4.7,23.58625,0.513748675,0.2,191.179375,10.496164
213,4.7,25.06770833,0.428799323,0,161.913125,10.4783964
214,4.7,22.45604167,0.075914156,8.21,29.95041667,2.808466
215,4.7,20.11895833,0.339852786,0,108.7552083,9.6310977
216,4.7,22.51833333,0.456003122,0,201.4966667,10.5185708
217,4.7,24.49020833,0.512074766,0,187.2866667,10.6069498
218,4.7,25.54291667,0.626880291,0,196.648125,9.8400896
219,4.7,25.3625,0.635108486,0,198.7004167,9.9287717
220,4.7,25.57145833,0.544264329,0.2,174.9645833,10.0771382
221,4.7,23.034375,0.341738194,0,100.6108333,7.7060337
222,4.7,19.32375,0.707661858,0,148.7872917,10.6600999
223,4.7,20.55354167,0.71832439,0,183.9054167,9.9223167
224,4.7,21.73979167,0.751395674,0,209.165625,9.5043203
225,4.7,23.41854167,0.698466052,0.2,206.158125,9.6216208
226,4.7,24.96666667,0.683971127,0,198.0058333,9.7064085
227,4.7,25.78479167,0.729904217,0,197.3427083,9.5391497
228,4.7,26.63708333,0.77570804,0,185.6679167,10.2004853
229,4.687096774,26.598125,0.73726748,0,191.0547917,9.9454405
230,4.674193548,26.22041667,0.532145159,0,160.1770833,11.2018541
231,4.661290323,27.04041667,0.719664747,0,188.9447917,9.9665515
232,4.648387097,27.28145833,0.767766332,0.4,189.5060417,9.3248064
233,4.635483871,18.890625,0.285005151,4.21,107.8816667,9.3428255
234,4.622580645,21.21125,0.564138199,0,210.370625,10.7112044
235,4.609677419,24.69125,0.57367534,0,178.584375,10.6277153
236,4.596774194,24.560625,0.316861866,16.07,144.7583333,10.6878783
237,4.583870968,24.263125,0.257503251,0.2,92.64958333,8.3073799
238,4.570967742,25.16041667,0.55454593,0,180.96,10.8926248
239,4.558064516,25.84604167,0.777260602,0,221.826875,9.3963656
240,4.54516129,26.13770833,0.801685476,0,197.63125,9.6018101
241,4.532258065,26.36875,0.794978038,0,212.7891667,9.4717574
242,4.519354839,26.47875,0.840235236,0,216.034375,9.0143526
243,4.506451613,25.984375,0.60446495,0,169.6670833,10.0882307
244,4.493548387,24.23354167,0.299682856,10.22,129.2491667,7.4009963
245,4.480645161,25.96291667,0.528286292,0.6,199.1447917,9.6553636
246,4.467741935,26.38916667,0.496641452,1.4,163.2195833,8.2268002
247,4.45483871,24.75583333,0.265479775,0,84.42666667,7.2501705
248,4.441935484,26.175,0.669058827,0,213.2958333,8.9619573
249,4.429032258,27.75270833,0.901138053,0,218.1947917,8.3166618
250,4.416129032,28.120625,0.941287352,0,211.3775,8.3362473
251,4.403225806,28.24083333,1.07004912,0,220.7854167,8.0277743
252,4.390322581,27.195625,0.803661145,0,177.6146254,7.8622198
253,4.377419355,16.59125,0.124905846,8.81,25.843125,2.6294055
254,4.364516129,17.64895833,0.433878313,0,132.100625,8.6819253
255,4.351612903,20.81958333,0.772517796,0,230.3302083,8.9469242
256,4.338709677,23.24729167,0.889194656,0,229.9525,8.5008746
257,4.325806452,25.54458333,0.993989163,0,237.9633333,8.0667987
